date,trades_count,total_closed_pnl,mean_closed_pnl,median_closed_pnl,profitable_trades,profitable_rate,total_volume_usd,avg_trade_size_usd,avg_execution_price,avg_fee,sentiment_value,sentiment_classification
2023-01-05,1,0.0,0.0,0.0,0,0.0,183.53,183.53,1897.9,0.0,29.0,Fear
2023-05-12,2,0.0,0.0,0.0,0,0.0,1728.11,864.055,22048.55,0.216014,49.0,Neutral
2024-01-01,6,195.17693399999996,32.52948899999999,0.0,1,0.16666666666666666,73225.20999999999,12204.201666666666,14961.449666666667,3.0510495,65.0,Greed
2024-01-02,6,0.0,0.0,0.0,0,0.0,2008.18,334.69666666666666,0.07612616666666668,0.08367399999999998,71.0,Greed
2024-01-03,129,7096.6293129999995,55.01263033333333,27.16416,120,0.9302325581395349,440219.82,3412.5567441860467,2.769537852713178,-0.06488121705426356,70.0,Greed
2024-01-04,37,1540.31231,41.63006243243243,11.13183,24,0.6486486486486487,194142.88999999998,5247.105135135134,861.4164361081081,0.9172290540540541,68.0,Greed
2024-01-05,3,0.0,0.0,0.0,0,0.0,27747.039999999997,9249.013333333332,2918.2999999999997,3.2371543333333332,72.0,Greed
2024-01-06,19,12.237506999999999,0.6440793157894736,0.0,3,0.15789473684210525,8068.99,424.6836842105263,1.1754956842105262,0.14863884210526315,70.0,Greed
2024-01-07,23,162.587818,7.0690355652173915,0.0,8,0.34782608695652173,34204.8,1487.1652173913044,758.9912890130435,1.0800760869565218,71.0,Greed
2024-01-08,29,166.496572,5.7412611034482754,0.0,2,0.06896551724137931,76029.18000000001,2621.6958620689657,24466.554253275863,1.8960151379310346,71.0,Greed
2024-01-09,11,137.433093,12.493917545454547,0.0,5,0.45454545454545453,12359.630000000001,1123.6027272727274,48.61261818181818,0.39326009090909086,76.0,Extreme Greed
2024-01-10,2,0.0,0.0,0.0,0,0.0,103448.45999999999,51724.229999999996,62044.5,18.103479999999998,73.0,Greed
2024-01-11,12,639.2455,53.27045833333333,0.0,2,0.16666666666666666,147957.86,12329.821666666665,29128.884875833333,4.258064166666666,76.0,Extreme Greed
2024-01-12,268,10367.410333,38.6843669141791,0.0,116,0.43283582089552236,363344.34,1355.7624626865672,2320.245747407239,0.41978938600746274,71.0,Greed
2024-02-01,4,-223.17159099999998,-55.792897749999995,0.0,1,0.25,53732.200000000004,13433.050000000001,21701.54563075,3.35826275,63.0,Greed
2024-02-02,20,190.570475,9.52852375,0.0,5,0.25,247100.84,12355.042,14296.87098945,1.7387624,63.0,Greed
2024-02-03,14,1359.6735889999998,97.11954207142855,16.500652,9,0.6428571428571429,59709.08,4264.934285714286,0.5961612857142857,-0.07544350000000001,60.0,Greed
2024-02-04,15,42.03645,2.80243,0.0,3,0.2,55945.63,3729.7086666666664,2488.5710000000004,1.0553986666666666,60.0,Greed
2024-02-06,83,191.874839,2.3117450481927713,0.0,33,0.39759036144578314,27755.98,334.40939759036144,1.0991661445783132,0.08668589156626506,64.0,Greed
2024-02-07,9,39.587869999999995,4.398652222222221,0.0,4,0.4444444444444444,994.14,110.46,3.699988888888889,0.015549333333333332,62.0,Greed
2024-02-08,14,40.513581,2.8938272142857144,0.0,5,0.35714285714285715,87303.07,6235.933571428572,19820.836444285716,2.668889214285714,66.0,Greed
2024-02-09,1,0.0,0.0,0.0,0,0.0,18195.75,18195.75,2426.1,6.368512,72.0,Greed
2024-02-10,1,0.0,0.0,0.0,0,0.0,39528.8,39528.8,60911.0,13.83508,74.0,Greed
2024-02-11,1,0.0,0.0,0.0,0,0.0,30000.0,30000.0,68880.0,10.499998,71.0,Greed
2024-02-12,165,15359.824313000001,93.08984432121213,0.0,77,0.4666666666666667,302453.98,1833.0544242424241,4143.916008175758,0.4616484684848485,70.0,Greed
2024-03-01,14,228.156892,16.296920857142858,0.0,6,0.42857142857142855,46938.17,3352.7264285714286,653.5607964285715,0.8381812857142857,80.0,Extreme Greed
2024-03-02,17,423.87404000000004,24.93376705882353,0.0,2,0.11764705882352941,233861.85,13756.579411764706,18967.73838235294,1.5956214117647056,80.0,Extreme Greed
2024-03-03,72,7802.158066,108.36330647222222,15.04116,51,0.7083333333333334,326047.66000000003,4528.439722222222,3.278631152777778,-0.08911730555555555,83.0,Extreme Greed
2024-03-04,4,126.7884,31.6971,0.0,1,0.25,16887.57,4221.8925,8.3283,0.41530025,82.0,Extreme Greed
2024-03-05,11,-8.814487,-0.801317,0.0,2,0.18181818181818182,16774.72,1524.9745454545455,1118.0925845454547,0.5311846363636363,90.0,Extreme Greed
2024-03-06,57,421.817842,7.400313017543859,1.43988,33,0.5789473684210527,17696.42,310.4635087719298,1.3142877192982456,0.07704133333333334,75.0,Extreme Greed
2024-03-07,8,142.361646,17.79520575,0.0,1,0.125,133538.97,16692.37125,2083.20625,5.82763875,82.0,Extreme Greed
2024-03-08,6,464.1897,77.36495000000001,0.0,1,0.16666666666666666,28050.28,4675.046666666666,1990.9250358333331,2.7974064999999997,81.0,Extreme Greed
2024-03-10,3,44.790655,14.930218333333334,0.0,1,0.3333333333333333,27194.41,9064.803333333333,20099.948966666667,3.1726813333333332,79.0,Extreme Greed
2024-03-11,4,0.0,0.0,0.0,0,0.0,93225.22,23306.305,34006.5734875,6.965874,82.0,Extreme Greed
2024-03-12,129,5483.507727,42.5078118372093,0.0,45,0.3488372093023256,351962.17,2728.3889147286823,4450.996361891473,0.707866333255814,81.0,Extreme Greed
2024-04-01,2,-1.16174,-0.58087,-0.58087,0,0.0,47480.01,23740.005,2212.95,5.9350000000000005,79.0,Extreme Greed
2024-04-02,11,9.941192999999998,0.9037448181818181,0.0,2,0.18181818181818182,16479.34,1498.1218181818183,8027.585,0.3499855454545454,79.0,Extreme Greed
2024-04-03,243,24238.171601000002,99.74556214403293,31.46129,211,0.8683127572016461,1418864.7,5838.9493827160495,518.1559807736626,-0.07729450617283952,71.0,Greed
2024-04-04,4,0.0,0.0,0.0,0,0.0,8047.900000000001,2011.9750000000001,3391.325,0.70419075,70.0,Greed
2024-04-05,4,0.0,0.0,0.0,0,0.0,43691.92,10922.98,2341.70215525,3.8230422500000003,79.0,Extreme Greed
2024-04-06,44,49.398386,1.122690590909091,0.2177675,24,0.5454545454545454,22512.45,511.64659090909095,9678.711288636363,0.1551618409090909,75.0,Extreme Greed
2024-04-07,12,0.0,0.0,0.0,0,0.0,279614.70999999996,23301.22583333333,2917.304166666667,5.02382,78.0,Extreme Greed
2024-04-08,29,-12199.997588,-420.689572,0.0,2,0.06896551724137931,220758.12,7612.348965517242,30815.225632931033,3.42675775862069,76.0,Extreme Greed
2024-04-09,5,41.605164,8.321032800000001,0.0,1,0.2,37299.350000000006,7459.870000000001,12244.457962999999,2.7081285999999998,80.0,Extreme Greed
2024-04-11,9,184.484688,20.498298666666667,0.0,3,0.3333333333333333,113804.16,12644.906666666668,60935.57238555556,4.425717333333334,76.0,Extreme Greed
2024-04-12,217,284409.944406,1310.6449050967742,0.0,98,0.45161290322580644,546148.97,2516.815529953917,3114.4425407695853,0.47702226465437786,79.0,Extreme Greed
2024-05-01,28,136.60814100000005,4.87886217857143,0.0,8,0.2857142857142857,710509.96,25375.355714285713,28887.524999999998,6.343838321428572,54.0,Neutral
2024-05-02,22,196.282201,8.921918227272727,0.0,5,0.22727272727272727,262276.27,11921.648636363638,20176.248681818182,1.753136,43.0,Fear
2024-05-03,147,18437.232795,125.42335234693877,35.489202,133,0.9047619047619048,790271.37,5375.995714285714,0.39928068027210883,-0.0864107074829932,48.0,Neutral
2024-05-04,85,6068.380479,71.39271151764706,5.88,77,0.9058823529411765,286743.15,3373.448823529412,157.09963564705882,0.4856031058823529,67.0,Greed
2024-05-05,3,0.916,0.30533333333333335,0.0,1,0.3333333333333333,10095.32,3365.1066666666666,1054.925,1.1740736666666667,69.0,Greed
2024-05-06,51,56.055506,1.099127568627451,0.0,16,0.3137254901960784,24752.52,485.34352941176473,2839.4895078431373,0.13573276470588236,71.0,Greed
2024-05-07,18,0.0,0.0,0.0,0,0.0,136717.4,7595.411111111111,1148.542111111111,2.653305111111111,68.0,Greed
2024-05-08,34,-10111.714022,-297.4033535882353,0.0,8,0.23529411764705882,260892.58000000002,7673.311176470589,26013.474432647057,4.3193585882352945,64.0,Greed
2024-05-10,7,144.449865,20.635695,0.0,3,0.42857142857142855,76678.16,10954.022857142858,62157.42857142857,3.833906714285714,66.0,Greed
2024-05-11,2,270.429716,135.214858,135.214858,1,0.5,63765.200000000004,31882.600000000002,67510.5,11.158909,53.0,Neutral
2024-05-12,303,56553.985761,186.64681769306932,0.0,134,0.44224422442244227,536503.16,1770.637491749175,3008.104710693069,0.4306903193729373,56.0,Greed
2024-06-01,6,28.807090000000002,4.801181666666667,0.0,2,0.3333333333333333,64502.340000000004,10750.390000000001,15331.208333333334,2.687597166666667,72.0,Greed
2024-06-02,570,232.74557299999998,0.40832556666666664,0.0,127,0.22280701754385965,4597684.18,8066.112596491227,19241.133082807017,0.2882894456140351,73.0,Greed
2024-06-03,76,6625.231839,87.17410314473685,28.81704,66,0.868421052631579,324132.3,4264.898684210526,1.7016622631578948,-0.05389326315789474,73.0,Greed
2024-06-04,5,1.288683,0.2577366,0.0,1,0.2,24717.739999999998,4943.548,3330.8199999999997,1.7302408,73.0,Greed
2024-06-05,5,13.572,2.7144,0.0,1,0.2,59476.96,11895.392,3116.7400000000002,4.1633864,75.0,Extreme Greed
2024-06-06,191,211.396087,1.1067857958115184,0.0,75,0.39267015706806285,120439.46,630.5730890052356,34.77359340314136,0.16968629319371728,78.0,Extreme Greed
2024-06-07,5,58.212951000000004,11.6425902,4.321199,3,0.6,926.11,185.222,2.253741828,6.0597368,77.0,Extreme Greed
2024-06-08,22,219.048153,9.956734227272728,0.0,8,0.36363636363636365,38149.909999999996,1734.086818181818,2509.408427965,0.6786001363636364,72.0,Greed
2024-06-09,3,-2.824122,-0.941374,0.0,0,0.0,19480.71,6493.57,1493.0977333333333,2.2727493333333335,75.0,Extreme Greed
2024-06-10,6,3.138989,0.5231648333333333,0.0,1,0.16666666666666666,39609.729999999996,6601.621666666666,62199.666666666664,2.310566833333333,72.0,Greed
2024-06-11,7,808.51815,115.50259285714286,0.0,2,0.2857142857142857,26456.59,3779.5128571428572,41642.93051285714,1.3228292857142858,74.0,Greed
2024-06-12,259,-101022.90956100001,-390.0498438648649,0.0,56,0.21621621621621623,2150670.02,8303.74525096525,7869.66653111969,1.2078910835521235,72.0,Greed
2024-07-01,26,-144.924484,-5.574018615384616,0.0,4,0.15384615384615385,150473.54,5787.443846153847,12647.560603076923,1.4468601923076922,53.0,Neutral
2024-07-02,14,219.48,15.677142857142856,0.0,1,0.07142857142857142,6597.57,471.255,3.889357142857143,0.021386,51.0,Neutral
2024-07-04,2,0.0,0.0,0.0,0,0.0,2480.5600000000004,1240.2800000000002,3398.1,0.43409800000000004,44.0,Fear
2024-07-05,7,282.43631799999997,40.348045428571425,0.0,3,0.42857142857142855,48309.62,6901.374285714286,1761.1664597142858,2.4137537142857144,29.0,Fear
2024-07-06,239,542.939152,2.2717119330543936,0.0,90,0.37656903765690375,236656.69,990.1953556485356,1233.4341612970711,0.29922460669456064,26.0,Fear
2024-07-07,6,51.60031,8.600051666666667,9.091483,6,1.0,418.95,69.825,3.99,0.0069825,29.0,Fear
2024-07-08,12,133.748483,11.145706916666667,10.856482,8,0.6666666666666666,1806.07,150.50583333333333,2.269360583333333,0.1780940666666667,28.0,Fear
2024-07-10,2,0.0,0.0,0.0,0,0.0,5505.66,2752.83,63678.5,0.963489,28.0,Fear
2024-07-11,36,2914.674824,80.96318955555556,14.189032000000001,22,0.6111111111111112,99094.55,2752.626388888889,4197.379721388888,0.6949643875,29.0,Fear
2024-07-12,187,55571.561674,297.17412659893046,0.0,76,0.40641711229946526,224290.71,1199.415561497326,577.5171484598931,0.2427802352406417,25.0,Fear
2024-08-01,38,568.424116,14.958529368421054,0.0,11,0.2894736842105263,432152.22,11372.426842105262,18450.180235,2.8431063157894734,52.0,Neutral
2024-08-02,8,544.7168039999999,68.08960049999999,0.0,3,0.375,14506.92,1813.365,9.925345625,0.23123075,57.0,Greed
2024-08-03,67,4271.886236,63.7594960597015,12.4432,59,0.8805970149253731,183583.18,2740.047462686567,2.9131835970149256,-0.0548004328358209,37.0,Fear
2024-08-04,7,1218.4267,174.06095714285715,0.0,1,0.14285714285714285,80455.26000000001,11493.608571428573,2530.9317857142855,2.2529535714285713,34.0,Fear
2024-08-05,7,1.56576,0.22368000000000002,0.0,1,0.14285714285714285,28643.760000000002,4091.9657142857145,1722.9932285714287,1.430199857142857,26.0,Fear
2024-08-06,18,123.915443,6.884191277777777,0.0,6,0.3333333333333333,83784.26000000001,4654.681111111112,16066.668366666667,1.6291376666666666,17.0,Extreme Fear
2024-08-07,1,0.0,0.0,0.0,0,0.0,497.64,497.64,3.19,0.0156,29.0,Fear
2024-08-08,5,-29.513287,-5.9026574,0.0,0,0.0,5861.1,1172.22,468.689252,0.5989218000000001,20.0,Extreme Fear
2024-08-10,2,6.592784,3.296392,3.296392,1,0.5,20494.71,10247.355,62259.5,3.5865739999999997,40.0,Fear
2024-08-11,10,-23.667746000000008,-2.3667746000000007,0.0,2,0.2,32254.620000000003,3225.4620000000004,45615.90092,1.0422238,39.0,Fear
2024-08-12,220,13767.20665,62.57821204545455,0.0,63,0.2863636363636364,503672.93,2289.4224090909092,991.6804000909091,0.4720450274545454,25.0,Fear
2024-09-01,25,671.71952,26.8687808,0.0,9,0.36,252727.0,10109.08,13945.104109999998,1.9872683599999998,26.0,Fear
2024-09-03,93,8805.378671,94.68149108602151,19.90535,79,0.8494623655913979,585436.83,6295.019677419355,12.679068666666666,-0.0783489247311828,26.0,Fear
